model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test
6_svm_bigram,2024,ตับต้นเพลงฉิ่ง,0.6477272727272727,0.6330961529417041,0.45161290322580644,0.9555555555555556,0.6194690265486725,0.5057471264367817,643,176
6_svm_bigram,2024,สาธุการ,0.8240740740740741,0.8008466552478828,0.56,0.8709677419354839,0.9557522123893806,0.8166666666666667,603,216
6_svm_bigram,2024,แขกมอญบางช้าง,0.7068965517241379,0.6959912854030501,0.5925925925925926,0.8666666666666667,0.7647058823529411,0.56,703,116
6_svm_bigram,2024,โหมโรงมหาฤกษ์,0.5588235294117647,0.5467127496159754,0.6666666666666666,0.42857142857142855,0.64,0.45161290322580644,751,68
7_svm_trigram,42,กล่อมนารี,0.6857142857142857,0.6840139317161377,0.6486486486486487,0.65625,0.7058823529411765,0.7252747252747253,679,140
7_svm_trigram,42,จีนขิมเล็ก,0.6990291262135923,0.6962241950071565,0.6190476190476191,0.6181818181818182,0.8235294117647058,0.7241379310344828,716,103
7_svm_trigram,42,ตับต้นเพลงฉิ่ง,0.6420454545454546,0.6206438910603395,0.4,0.9782608695652174,0.5982905982905983,0.5060240963855421,643,176
7_svm_trigram,42,สาธุการ,0.8055555555555556,0.7767019677697682,0.5,0.8852459016393442,0.9473684210526315,0.7741935483870968,603,216
7_svm_trigram,42,แขกมอญบางช้าง,0.7327586206896551,0.7227555387201471,0.6440677966101694,0.8387096774193549,0.8125,0.5957446808510638,703,116
7_svm_trigram,42,โหมโรงมหาฤกษ์,0.5294117647058824,0.5215247715247715,0.5925925925925926,0.45714285714285713,0.6363636363636364,0.4,751,68
7_svm_trigram,123,กล่อมนารี,0.6857142857142857,0.6840139317161377,0.6486486486486487,0.65625,0.7058823529411765,0.7252747252747253,679,140
7_svm_trigram,123,จีนขิมเล็ก,0.6990291262135923,0.6962241950071565,0.6190476190476191,0.6181818181818182,0.8235294117647058,0.7241379310344828,716,103
7_svm_trigram,123,ตับต้นเพลงฉิ่ง,0.6420454545454546,0.6206438910603395,0.4,0.9782608695652174,0.5982905982905983,0.5060240963855421,643,176
